SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
TEC.1135;Seminário de Integração Acadêmica;Graduação;30;40;2;Sim;-;-
TEC.1181;Seminário de Integração Acadêmica;Graduação;30;40;2;Sim;-;Marketing,
TSUB.0863;Seminário de Integração Acadêmica ;Médio;10;13;1;Sim;-;-
TSUB.0035;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.79.0024;Curso 08079
TSUB.0068;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.422.0021;Curso 08422
TSUB.0098;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.421.0017;Curso 08421
TSUB.0121;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.116.0025;Curso 10116
TSUB.0146;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.045.0018;Curso 10045
TSUB.0178;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.411.0016;Curso 10411
TSUB.0200;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.307.0019;Curso 10045
TSUB.0230;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.808.0017;Curso 12808
TSUB.0258;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.053.0018;Curso 12053
TSUB.0284;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.035.0016;Curso 09035
TSUB.0308;Seminário de Integração Acadêmica(10H);Médio;10;13;1;Sim;TSUB.118.0015;Curso 16118
